dst_port,protocol,src_port,flow_duration,prediction,confidence,top3
80,6,57312,30993890.52391052,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57334,30993282.794952396,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57338,30991956.47239685,Benign,0.86,"[('Benign', np.float64(0.86)), ('DoS', np.float64(0.13333333333333333)), ('Brute Force', np.float64(0.006666666666666667))]"
80,6,57362,30991157.53173828,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57376,30990331.41136169,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57408,12074450.016021729,Benign,0.9079978337160435,"[('Benign', np.float64(0.9079978337160435)), ('DoS', np.float64(0.08533333333333334)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57412,12074161.529541016,Benign,0.9079978337160435,"[('Benign', np.float64(0.9079978337160435)), ('DoS', np.float64(0.08533333333333334)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57414,12075644.969940186,Benign,0.9079978337160435,"[('Benign', np.float64(0.9079978337160435)), ('DoS', np.float64(0.08533333333333334)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57428,12076364.994049072,Benign,0.8946645003827102,"[('Benign', np.float64(0.8946645003827102)), ('DoS', np.float64(0.09866666666666667)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57442,12075736.76109314,Benign,0.9146645003827102,"[('Benign', np.float64(0.9146645003827102)), ('DoS', np.float64(0.07866666666666668)), ('Brute Force', np.float64(0.006668832950623168))]"
